ISIN,Google Finance Symbol,Fund Name,NAV,NAV Date,DAILY,WEEKLY,MONTHLY,QUARTERLY,SIX_MONTHLY,ANNUAL,THREE_YEARS,FIVE_YEARS,SEVEN_YEARS,TEN_YEARS,FIFTEEN_YEARS
INF204KB14I2,NSE:NIFTYBEES,Nippon India ETF Nifty 50 BeES,260.75,2025-02-03,-0.6867,2.1916,-2.7237,-2.6441,-2.63,7.9346,11.2844,15.4714,12.9569,11.4381,
INF109K014O9,MUTF_IN:ICIC_PRU_MULT_1MMQ5ES,ICICI Prudential Multicap Fund,828.52,2025-01-31,1.1303,1.6265,-2.6244,-5.1081,-5.183,15.4394,19.1469,21.1084,15.7004,14.9744,
INF174K01LS2,MUTF_IN:KOTA_FLEX_DIR_FLO6NW,Kotak Flexicap Fund,86.909,2025-01-31,1.2312,1.866,-2.8939,-2.7798,-6.3046,14.2022,14.1481,16.4731,13.4625,13.6897,
INF179K01UT0,MUTF_IN:HDFC_FLEX_CAP_WZY4,HDFC Flexi Cap Fund,1977.706,2025-01-31,0.6455,1.5957,-2.7269,-3.203,-1.5563,18.0991,21.7495,23.1828,16.0886,14.7877,
INF179K01WM1,MUTF_IN:HDFC_INDE_NIFT_14QA3V4,HDFC Index Fund-NIFTY 50 Plan,226.3887,2025-01-31,1.1391,1.8339,-0.8826,-2.7674,-4.5634,9.3756,11.2152,15.387,12.4559,11.3373,
INF179K01XZ1,MUTF_IN:HDFC_HYBR_EQ_MG0VWR,HDFC Hybrid Equity Fund,120.53,2025-01-31,0.6799,0.9439,-2.393,-2.1521,-2.4001,9.7533,12.1514,15.8091,10.4842,10.1539,
INF879O01027,MUTF_IN:PARA_PARI_FLEX_17J17OL,Parag Parikh Flexi Cap Fund,87.4349,2025-01-31,1.1337,1.5266,-0.5807,1.6905,3.5387,20.5423,17.9302,25.1574,19.8424,18.2518,
INF109K016L0,MUTF_IN:ICIC_PRU_BLUE_1M4XFNW,ICICI Prudential Bluechip Fund,112.26,2025-01-31,1.1534,1.7677,-1.7074,-3.3158,-4.2068,12.7788,16.0216,19.1359,14.4676,13.7684,
INF109KC1R89,MUTF_IN:ICIC_PRU_NIFT_UOTXOE,ICICI Prudential Nifty Alpha Low - Volatility 30 ETF FOF,14.6632,2025-01-31,0.6742,0.2194,-4.5203,-8.6388,-11.7647,7.7653,15.8743,,,,
INF109K01Y07,MUTF_IN:ICIC_PRU_EQUI_1QZF38U,ICICI Prudential Equity & Debt Fund,399.89,2025-01-31,0.8321,1.338,-0.8136,-2.7883,-3.0217,13.3957,17.4818,21.7897,16.263,15.5037,
INF109K011O5,MUTF_IN:ICIC_PRU_LARG_1E01RTN,ICICI Prudential Large & Mid Cap Fund,1031.53,2025-01-31,1.2356,1.5305,0.131,-2.4503,-3.2889,18.1403,20.1471,23.5868,16.6475,15.1142,
INF174KA1FQ7,MUTF_IN:KOTA_NASD_100_HO0S7H,Kotak NASDAQ 100 Fund of Fund,19.1815,2025-01-31,1.8034,-0.0036,4.1884,9.4572,22.5483,32.2607,19.5505,,,,
INF843K01AL0,MUTF_IN:EDEL_LARG_MID_W2OIBG,Edelweiss Large & Mid Cap Fund,94.92,2025-01-31,1.5176,0.6415,-6.4385,-4.8478,-3.5542,15.6531,16.9666,21.0852,16.1059,14.8297,
INF846K01EW2,MUTF_IN:AXIS_ELSS_TAX_1FUN8PD,Axis ELSS Tax Saver Fund,101.3764,2025-01-31,0.7901,1.4902,-3.6436,-3.6547,-4.6188,15.8225,9.1836,13.2677,12.3354,12.4722,
INF109K013N3,MUTF_IN:ICIC_PRU_SHOR_1II1866,ICICI Prudential Short Term Fund,62.9743,2025-01-31,0.0022,0.1524,0.6232,1.8369,3.8774,8.3183,7.6155,7.5616,7.9433,8.1747,
INF109K016E5,MUTF_IN:ICIC_PRU_ALL_2XLBMC,ICICI Prudential All Seasons Bond Fund,38.2989,2025-01-31,-0.0219,0.1721,0.7304,2.0292,4.2235,8.8553,8.0342,8.0353,8.4095,8.5863,
INF754K01QX0,NSE:EBBETF0433,BHARAT Bond ETF - April 2033,1191.48,2025-02-03,0.0581,0.1314,0.8135,1.9306,4.6867,9.2123,,,,,
INF754K01PF9,MUTF_IN:EDEL_CRIS_IBX_ZZG74A,Edelweiss CRISIL IBX 50:50 Gilt Plus SDL April 2037 Index Fund,12.3971,2025-01-31,-0.1136,0.2142,0.9413,2.0161,4.6248,10.0116,,,,,
INF879O01266,MUTF_IN:PARA_PARI_DYN_1C8NIGM,Parag Parikh Dynamic Asset Allocation Fund,10.9508,2025-01-31,0.5029,0.4218,0.4264,1.1958,2.1787,,,,,,
INF109KC17V7,NSE:ALPL30IETF,ICICI Prudential Nifty Alpha Low- Volatility 30 ETF,26.64,2025-02-03,-0.9883,1.3224,-5.6393,-7.9421,-10.3287,5.7634,15.7284,,,,
INF200K01RP8,MUTF_IN:SBI_GOLD_DIR_1HYVO74,SBI GOLD FUND- DIRECT PLAN,25.4869,2025-01-31,1.338,1.9611,7.2234,3.2866,15.5832,29.6206,18.5782,14.1592,14.4685,10.5335,
