ISIN,Google Finance Symbol,Fund Name,NAV,NAV Date,DAILY,WEEKLY,MONTHLY,QUARTERLY,SIX_MONTHLY,ANNUAL,THREE_YEARS,FIVE_YEARS,SEVEN_YEARS,TEN_YEARS
INF204KB14I2,NSE:NIFTYBEES,Nippon India ETF Nifty 50 BeES,282.9393,2025-09-15,-0.1783,1.1943,1.8101,1.9523,12.8569,0.0697,13.1597,18.1633,12.9921,13.5687
INF109K014O9,MUTF_IN:ICIC_PRU_MULT_1MMQ5ES,ICICI Prudential Multicap Fund,891.7,2025-09-15,0.3624,1.7086,2.1046,1.3964,15.119,-2.0975,20.5531,25.2145,15.8134,15.9723
INF174K01LS2,MUTF_IN:KOTA_FLEX_DIR_FLO6NW,Kotak Flexicap Fund,95.958,2025-09-15,0.096,1.6171,1.6386,1.3284,17.1563,2.1493,16.5863,20.1506,14.6526,15.3037
INF179K01UT0,MUTF_IN:HDFC_FLEX_CAP_WZY4,HDFC Flexi Cap Fund,2210.045,2025-09-15,-0.0237,0.9751,2.5203,4.0345,15.7702,5.7959,22.4904,28.9417,18.2035,17.2934
INF179K01WM1,MUTF_IN:HDFC_INDE_NIFT_14QA3V4,HDFC Index Fund-NIFTY 50 Plan,243.3926,2025-09-15,-0.1799,1.1907,1.7941,1.9031,12.742,-0.1332,12.9282,17.9129,12.7148,13.3412
INF179K01XZ1,MUTF_IN:HDFC_HYBR_EQ_MG0VWR,HDFC Hybrid Equity Fund,128.246,2025-09-15,-0.0086,0.904,0.9739,0.5078,10.8024,1.5851,12.5684,17.9542,12.9824,11.8333
INF879O01027,MUTF_IN:PARA_PARI_FLEX_17J17OL,Parag Parikh Flexi Cap Fund,93.617,2025-09-12,0.2895,1.1933,2.0563,2.8087,12.0385,7.9805,20.9931,24.2258,20.1577,19.0349
INF109K016L0,MUTF_IN:ICIC_PRU_BLUE_1M4XFNW,ICICI Prudential Large Cap Fund,122.17,2025-09-15,-0.0736,1.0003,1.5207,2.5949,14.2203,1.3783,18.39,22.1834,15.291,15.6134
INF109KC1R89,MUTF_IN:ICIC_PRU_NIFT_UOTXOE,ICICI Prudential Nifty Alpha Low - Volatility 30 ETF FOF,15.0724,2025-09-15,-0.0365,2.4455,2.2079,-0.2924,12.0158,-11.8869,15.9841,,,
INF109K01Y07,MUTF_IN:ICIC_PRU_EQUI_1QZF38U,ICICI Prudential Equity & Debt Fund,444.05,2025-09-15,0.0879,1.0169,2.4408,3.7888,13.6317,5.3847,19.8239,25.8966,17.7576,17.0916
INF109K011O5,MUTF_IN:ICIC_PRU_LARG_1E01RTN,ICICI Prudential Large & Mid Cap Fund,1139.57,2025-09-15,0.3602,1.5062,4.3381,2.9041,16.3646,2.2827,21.7168,27.6998,18.4141,17.6315
INF174KA1FQ7,MUTF_IN:KOTA_NASD_100_HO0S7H,Kotak US Specific Equity Passive FOF,21.5919,2025-09-12,0.2638,1.9838,2.1082,13.4749,23.6267,31.1557,28.0359,,,
INF843K01AL0,MUTF_IN:EDEL_LARG_MID_W2OIBG,Edelweiss Large & Mid Cap Fund,102.519,2025-09-15,0.1084,1.6348,2.1818,1.6862,17.0656,-0.8789,17.983,23.2605,17.4013,16.3328
INF846K01EW2,MUTF_IN:AXIS_ELSS_TAX_1FUN8PD,Axis ELSS Tax Saver Fund,110.1522,2025-09-15,0.0643,1.0889,2.1389,2.9325,14.5616,-0.3527,12.7042,16.5304,12.513,13.4063
INF109K013N3,MUTF_IN:ICIC_PRU_SHOR_1II1866,ICICI Prudential Short Term Fund,66.5536,2025-09-15,0.0295,0.0978,0.3566,1.4322,4.8129,8.7065,8.3008,7.2236,8.249,8.2879
INF109K016E5,MUTF_IN:ICIC_PRU_ALL_2XLBMC,ICICI Prudential All Seasons Bond Fund,40.27,2025-09-15,0.0479,0.0007,0.1609,0.829,4.2084,8.2409,8.391,7.3864,8.5899,8.8479
INF754K01QX0,NSE:EBBETF0433,BHARAT Bond ETF - April 2033,1250.2209,2025-09-15,0.0313,0.2381,0.1409,0.4738,4.8768,8.3675,,,,
INF754K01PF9,MUTF_IN:EDEL_CRIS_IBX_ZZG74A,Edelweiss CRISIL IBX 50:50 Gilt Plus SDL April 2037 Index Fund,12.8671,2025-09-15,-0.0124,0.0638,-0.5864,-0.5295,3.206,6.8954,,,,
INF879O01266,MUTF_IN:PARA_PARI_DYN_1C8NIGM,Parag Parikh Dynamic Asset Allocation Fund,11.4217,2025-09-15,0.0526,0.3973,0.2994,0.9876,4.7891,5.5066,,,,
INF109KC17V7,NSE:ALPL30IETF,ICICI Prudential Nifty Alpha Low- Volatility 30 ETF,27.6264,2025-09-15,-0.1504,1.4871,2.2651,0.7961,12.0437,-11.5955,16.2107,17.9869,,
INF200K01RP8,MUTF_IN:SBI_GOLD_DIR_1HYVO74,SBI GOLD FUND- DIRECT PLAN,33.5755,2025-09-15,-0.2662,2.5911,9.406,9.547,25.0191,46.9642,28.5084,14.9704,19.0145,14.4247
INF277KA1976,NSE:TATAGOLD,Tata Gold Exchange Traded Fund,10.6368,2025-09-15,-0.2167,1.0296,9.1323,9.3612,23.4856,47.0235,,,,
INF204KB17I5,NSE:GOLDBEES,Nippon India ETF Gold BeES,90.8226,2025-09-15,-0.2934,1.3391,9.2297,10.0971,25.2881,47.5135,28.3123,14.7055,18.6675,
