INF179K01WM1,04-Nov-2024,0.36,0.20
INF204KB14I2,25-Apr-2025,0.00,0.04
INF109K016E5,25-Apr-2025,1.29,0.59
INF846K01EW2,24-Apr-2025,1.53,0.80
INF879O01266,27-Apr-2025,0.63,0.33
INF754K01QX0,04-Dec-2024,0.00,0.00
INF174K01LS2,15-Apr-2025,1.48,0.65
INF174KA1FQ7,15-Apr-2025,0.61,0.24
INF879O01027,27-Apr-2025,1.27,0.62
INF109KC1R89,16-Apr-2025,0.53,0.10
INF109K016L0,25-Apr-2025,1.43,0.85
INF109K013N3,25-Apr-2025,1.02,0.45
INF109K011O5,25-Apr-2025,1.68,0.79
INF754K01PF9,27-Apr-2025,0.46,0.20
INF179K01XZ1,25-Apr-2025,1.69,1.04
INF179K01UT0,25-Apr-2025,1.40,0.74
INF843K01AL0,27-Apr-2025,1.87,0.48
INF109K01Y07,25-Apr-2025,1.58,0.99
INF109KC17V7,25-Apr-2025,0.41,0.00
INF109K014O9,25-Apr-2025,1.74,0.93
IE00B53SZB19,17-Dec-2024,0.30,0.30
